category,label,term_id,term_en,term_de,register,field,exp_field,source,tag_id
term,Kamerafahrt,term_0124,tracking shot,Kamerafahrt,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0249
term,crane shot,term_0125,crane shot,Kranfahrt,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0250
term,Kranfahrt,term_0125,crane shot,Kranfahrt,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0251
term,pan,term_0126,pan,Schwenk,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0252
term,Schwenk,term_0126,pan,Schwenk,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0253
term,tilt,term_0127,tilt,vertikaler Schwenk,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0254
term,vertikaler Schwenk,term_0127,tilt,vertikaler Schwenk,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0255
term,handheld,term_0128,handheld,Handkamera,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0256
term,Handkamera,term_0128,handheld,Handkamera,,Camera Movement,exp_Camera_Movement,"Bordwell, David; Thompson, Kristin (1992): Film Art. An Introduction. 11th Edition. McGraw-Hill Higher Education, 2017.",tag_0257
term,jittery,term_0129,jittery,"nervös, verzittert",,Camera Movement,exp_Camera_Movement,,tag_0258
term,"nervös, verzittert",term_0129,jittery,"nervös, verzittert",,Camera Movement,exp_Camera_Movement,,tag_0259
term,Steadicam,term_0130,Steadicam,Steadicam,,Camera Movement,exp_Camera_Movement,,tag_0260
term,zoom,term_0131,zoom,Zoom,,Camera Movement,exp_Camera_Movement,,tag_0261
